url,crawl_status,status_code,content_type,h1,h2,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://banglapdfall.blogspot.com/,canonicalised,200,text/html; charset=UTF-8,Bengali Pdf Books,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books,,http://banglapdfall.blogspot.com/,allowed,,,
http://www.mediafire.com/file/sm79n7ggpznk6zd/Raj-Kahini.pdf,blocked by x-robots-tag,200,text/html; charset=UTF-8,,,,,,allowed,,,"noindex, nofollow"
https://banglapdfall.blogspot.com/2016/,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: 2016,,http://banglapdfall.blogspot.com/2016/,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=7661699253518901725&target=facebook,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=4727307761130049717&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=5561094624720320226&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=4727307761130049717&target=facebook,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=6300296402844454070&target=blog,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://banglapdfall.blogspot.com/feeds/posts/default,ok,200,application/atom+xml; charset=UTF-8,,,,,,allowed,,,
https://www.mediafire.com/file/4dsa1anm5s2vvj0/Unish+Kuri+Pujo+1422+%28Amarboi.com%29.pdf,forbidden,403,text/html; charset=UTF-8,,,,,,allowed,,,
http://download904.mediafire.com/yqo2f6ztciig/4dsa1anm5s2vvj0/Unish+Kuri+Pujo+1422+%28Amarboi.com%29.pdf,found,302,text/html,,,,,,allowed,https://www.mediafire.com/file/4dsa1anm5s2vvj0/Unish+Kuri+Pujo+1422+%28Amarboi.com%29.pdf,,
https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjFq2jJuR1YtB_cd96ouEcoO34qGFb1HCuNbPXI21Nx6UeYszBqqYWSNROehwuJVhyphenhyphenk9yFJ9umqkDQs-nZVEDH7zI6DjqDcDFFTdL5T_Q_y5MWriulw5vuBlM7WWNjKpVWS_3bMR0E0kvI5/s1600/Anandabazar%252BSharadia%252B1423%252B%2525282016%252529.jpg,ok,200,image/jpeg,,,,,,allowed,,,
https://banglapdfall.blogspot.com/2014/05/all-bengali-indrajal-comicstotal-39.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: All Bengali Indrajal Comics(Total 39),,http://banglapdfall.blogspot.com/2014/05/all-bengali-indrajal-comicstotal-39.html,allowed,,,
https://banglapdfall.blogspot.com/2015/09/pujabarshiki-anandamela-1422.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books,,http://banglapdfall.blogspot.com/2015/09/pujabarshiki-anandamela-1422.html,allowed,,,
https://www.blogger.com/profile/18055946714670290263,ok,200,text/html; charset=utf-8,,,,,,allowed,,,
https://banglapdfall.blogspot.com/2016/09/an.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books,,http://banglapdfall.blogspot.com/2016/09/an.html,allowed,,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=6030499169676119988&target=blog,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://banglapdfall.blogspot.com/2014/05/shonku-samagra-by-satyajit-ray.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: Shonku Samagra by Satyajit Ray,,http://banglapdfall.blogspot.com/2014/05/shonku-samagra-by-satyajit-ray.html,allowed,,,
https://banglapdfall.blogspot.com/2016/09/blog-post.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books,,http://banglapdfall.blogspot.com/2016/09/blog-post.html,allowed,,,
https://banglapdfall.blogspot.com/2014/08/,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: August 2014,,http://banglapdfall.blogspot.com/2014/08/,allowed,,,
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&ifkv=AdBytiNZd3p4JjYWjgSqQxKVO1HBdsIjyhvMVylffST8BZOAIWNnSn8PQVPEEM490ROrBCVnaDx9DA&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-770515813%3A1748820585636200,ok,200,text/html; charset=utf-8,,,,,,allowed,,,
https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil,found,302,application/binary,,,,,,allowed,https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiOItVlJTiQc50T9fxeW5ulGYG67tMX8mBbWuTnDbvdclGnXyddh6QF59ieZID16YXZp2SFfIQ,,
https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiOItVlJTiQc50T9fxeW5ulGYG67tMX8mBbWuTnDbvdclGnXyddh6QF59ieZID16YXZp2SFfIQ,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&ifkv=AdBytiNZd3p4JjYWjgSqQxKVO1HBdsIjyhvMVylffST8BZOAIWNnSn8PQVPEEM490ROrBCVnaDx9DA&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-770515813%3A1748820585636200,,
https://www.blogger.com/post-edit.g?blogID=3928496115469874446&postID=6030499169676119988&from=pencil,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=3308237818814214664&target=blog,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
